,frequency,percentage
tn,1118,1.6268693272436228e-06
chf,514,7.479524456200556e-07
ngp,512,7.450421248199775e-07
hrt,635,9.240268540247768e-07
xlr,585,8.512688340228259e-07
mlm,563,8.192553052219675e-07
hrg,487,7.086631148190021e-07
nbb,1144,1.6647034976446374e-06
dw,2437,3.5462258948950887e-06
xpr,879,1.2790859916342975e-06
nms,599,8.716410796233722e-07
cls,695,1.011336478027118e-06
spk,614,8.934684856239574e-07
spp,495,7.203043980193142e-07
hjf,490,7.130285960191192e-07
ftw,457,6.650083028178315e-07
gts,499,7.261250396194704e-07
grr,1309,1.9048049636510755e-06
sks,918,1.3358372472358192e-06
hsm,804,1.169948961631371e-06
fmc,506,7.363111624197435e-07
dnk,480,6.98476992018729e-07
bfl,458,6.664634632178705e-07
nlf,502,7.304905208195873e-07
hn,854,1.2427069816333219e-06
ftf,727,1.0579016108283667e-06
bq,507,7.377663228197825e-07
tgp,449,6.533670196175194e-07
ngc,466,6.781047464181827e-07
fkf,526,7.654143704205238e-07
ndf,658,9.574955432256743e-07
cds,715,1.0404396860278983e-06
ppc,574,8.352620696223968e-07
nhd,491,7.144837564191582e-07
fbh,467,6.795599068182217e-07
srg,581,8.454481924226699e-07
kbh,590,8.58544636023021e-07
cw,847,1.2325208588330488e-06
dmm,513,7.464972852200166e-07
stb,584,8.49813673622787e-07
gls,814,1.184500565631761e-06
mcr,653,9.502197412254792e-07
nvc,499,7.261250396194704e-07
mdc,529,7.697798516206408e-07
cz,1172,1.7054479888457298e-06
hbr,463,6.737392652180656e-07
gsd,650,9.458542600253622e-07
lfc,532,7.741453328207579e-07
slf,468,6.810150672182607e-07
nts,711,1.0346190444277422e-06
ldl,842,1.2252450568328537e-06
hdl,690,1.0040606760269229e-06
clt,437,6.359050948170511e-07
bht,472,6.868357088184169e-07
ppl,640,9.31302656024972e-07
mpg,468,6.810150672182607e-07
